iter	RMSE
0	0.138333454
1	0.1344702079
2	0.1307667823
3	0.1272061406
4	0.1237066392
5	0.1203242344
6	0.1170834131
7	0.1139127882
8	0.1108013
9	0.1078685255
10	0.1049908728
11	0.102162477
12	0.09944202463
13	0.09685619564
14	0.09429178775
15	0.09182874064
16	0.08947455758
17	0.08717184883
18	0.08496046651
19	0.08277406211
20	0.08070014395
21	0.07864143832
22	0.07666116664
23	0.07471378428
24	0.07282713107
25	0.07104762378
26	0.06935106744
27	0.06766886767
28	0.06601573542
29	0.06443508665
30	0.06288681545
31	0.06141453895
32	0.05997694329
33	0.05857593545
34	0.05723203911
35	0.0559142357
36	0.05466308378
37	0.05343425
38	0.05224252932
39	0.05110884743
40	0.05002019314
41	0.04901776349
42	0.04799559954
43	0.04702287315
44	0.04610247075
45	0.04518409043
46	0.04431947724
47	0.04347203621
48	0.04265781498
49	0.0418675916
50	0.04111249601
51	0.04037713511
52	0.03967816913
53	0.03901033479
54	0.03836583528
55	0.03773512232
56	0.0371317145
57	0.03655135039
58	0.03599711054
59	0.03547032575
60	0.03494645445
61	0.03444512463
62	0.03397743084
63	0.03353644979
64	0.03309079828
65	0.03269770926
66	0.03230852277
67	0.03191249118
68	0.03155539869
69	0.03120001295
70	0.03086137533
71	0.03056143159
72	0.0302472393
73	0.02995764483
74	0.02967822482
75	0.02942159661
76	0.02915906499
77	0.02891213547
78	0.02867681585
79	0.02845656703
80	0.0282368045
81	0.02802467341
82	0.02780992092
83	0.02763388838
84	0.02745084459
85	0.02726576284
86	0.02709667652
87	0.02693603687
88	0.02678927462
89	0.02665463475
90	0.02651383546
91	0.02638388741
92	0.02625290282
93	0.02613380381
94	0.02602259182
95	0.02591660939
96	0.02581109096
97	0.02571179935
98	0.02561095603
99	0.02552789103
100	0.02544690367
101	0.02535792204
102	0.0252721498
103	0.02519947683
104	0.02512424187
105	0.02504823666
106	0.02497329103
107	0.02491207351
108	0.02485413168
109	0.02480134427
110	0.02474296326
111	0.02468976466
112	0.02464515974
113	0.02459681339
114	0.02455349912
115	0.02450074581
116	0.02445602137
117	0.02440261504
118	0.02436577515
119	0.02432943893
120	0.02429345975
121	0.02425938916
122	0.0242158996
123	0.02417654953
124	0.02414630795
125	0.0241126774
